type,value,role,label,source
domain,60aahn1v.nurvealive.com,phishing,ClearFake,ThreatFox
ip,49.232.21.222,c2,Cobalt Strike,ThreatFox
ip,45.207.219.134,c2,Cobalt Strike,ThreatFox
ip,106.54.201.103,c2,Cobalt Strike,ThreatFox
ip,81.70.21.163,c2,Cobalt Strike,ThreatFox
ip,112.126.27.96,c2,Cobalt Strike,ThreatFox
ip,47.99.109.10,c2,Cobalt Strike,ThreatFox
domain,lyph0k3g.enus-beastforce.com,phishing,ClearFake,ThreatFox
domain,enus-beastforce.com,phishing,ClearFake,ThreatFox
domain,spiritofswitzerland.ch,phishing,ClearFake,ThreatFox
ip,43.226.39.138,c2,Cobalt Strike,ThreatFox
url,http://111.184.208.168:54288/Mozi.m,phishing,Mozi,ThreatFox
url,http://105.184.7.6:49853/Mozi.m,phishing,Mozi,ThreatFox
domain,scientologyschweiz.ch,phishing,ClearFake,ThreatFox
ip,176.65.139.219,c2,Mirai,ThreatFox
domain,j2zz03ut.belly-flush.us,phishing,ClearFake,ThreatFox
ip,117.72.202.154,c2,Cobalt Strike,ThreatFox
ip,179.199.143.63,c2,Unknown malware,ThreatFox
ip,117.50.214.223,c2,VShell,ThreatFox
url,https://rudder-moss.com/zxc/app.zip,phishing,AMOS,ThreatFox
url,https://rudder-moss.com/zxc/apptwo.zip,phishing,AMOS,ThreatFox
url,https://rudder-moss.com/zxc/appex.zip,phishing,AMOS,ThreatFox
url,https://rudder-moss.com/zxc/kito,phishing,AMOS,ThreatFox
url,https://rudder-moss.com/zxc/mdw,phishing,AMOS,ThreatFox
domain,friendsanchor.xyz,c2,Unknown Loader,ThreatFox
domain,doctorboundary.xyz,c2,Unknown Loader,ThreatFox
domain,fv1hcoo0.neuro-neurosharp.com,phishing,ClearFake,ThreatFox
domain,neuro-neurosharp.com,phishing,ClearFake,ThreatFox
domain,0ijvvr6j.en-en--cardioslim.com,phishing,ClearFake,ThreatFox
domain,test.adriance.workers.dev,phishing,Unknown malware,ThreatFox
domain,search.csmq.workers.dev,phishing,Unknown malware,ThreatFox
domain,help1.mcsq.workers.dev,phishing,Unknown malware,ThreatFox
domain,clean.csmq.workers.dev,phishing,Unknown malware,ThreatFox
domain,connect.mcfind.workers.dev,phishing,Unknown malware,ThreatFox
domain,crs.defenders.workers.dev,phishing,Unknown malware,ThreatFox
domain,cdn.mcsq.workers.dev,phishing,Unknown malware,ThreatFox
domain,src.mcfind.workers.dev,phishing,Unknown malware,ThreatFox
domain,cfd.fins.workers.dev,phishing,Unknown malware,ThreatFox
domain,api.federickcasto.workers.dev,phishing,Unknown malware,ThreatFox
domain,api.groundexpressdispatch.workers.dev,phishing,Unknown malware,ThreatFox
domain,wise.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,find.csmq.workers.dev,phishing,Unknown malware,ThreatFox
domain,open.csmq.workers.dev,phishing,Unknown malware,ThreatFox
domain,check.mcsq.workers.dev,phishing,Unknown malware,ThreatFox
domain,rally.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,fly.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,olympic.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,husband.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,crs.aiservices.workers.dev,phishing,Unknown malware,ThreatFox
domain,make.thbwi.workers.dev,phishing,Unknown malware,ThreatFox
domain,build-asdasd.4b3a91fd1b35ab2d023f5d71713a6c00.workers.dev,phishing,Unknown malware,ThreatFox
domain,cup.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,little.vwgze.workers.dev,phishing,Unknown malware,ThreatFox
domain,suggest.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,wreck.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,src.mcsq.workers.dev,phishing,Unknown malware,ThreatFox
domain,tool.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,burden.aeafh.workers.dev,phishing,Unknown malware,ThreatFox
domain,cms.csmq.workers.dev,phishing,Unknown malware,ThreatFox
domain,defy.3ce7ab2da45404231f376cac66904a01.workers.dev,phishing,Unknown malware,ThreatFox
domain,pet.ncsgo.workers.dev,phishing,Unknown malware,ThreatFox
domain,t.vwgze.workers.dev,phishing,Unknown malware,ThreatFox
domain,alcohol.4b3a91fd1b35ab2d023f5d71713a6c00.workers.dev,phishing,Unknown malware,ThreatFox
domain,bulb.aeafh.workers.dev,phishing,Unknown malware,ThreatFox
domain,camp.4b3a91fd1b35ab2d023f5d71713a6c00.workers.dev,phishing,Unknown malware,ThreatFox
domain,crane.ncsgo.workers.dev,phishing,Unknown malware,ThreatFox
domain,dheya.dheya.workers.dev,phishing,Unknown malware,ThreatFox
domain,dice.1467dd4e407bdff28460ad05765f04e0.workers.dev,phishing,Unknown malware,ThreatFox
domain,fit.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,grace.aeafh.workers.dev,phishing,Unknown malware,ThreatFox
domain,help.mcsq.workers.dev,phishing,Unknown malware,ThreatFox
domain,item.ikevbhm-gitch.workers.dev,phishing,Unknown malware,ThreatFox
domain,mail.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,packet.mwbwu.workers.dev,phishing,Unknown malware,ThreatFox
domain,palace.mdlrh.workers.dev,phishing,Unknown malware,ThreatFox
url,https://gamboracle.vercel.app/api,phishing,BeaverTail,ThreatFox
ip,51.210.52.212,c2,BeaverTail,ThreatFox
url,https://ip-vm.vercel.app/api/settings/mac,phishing,BeaverTail,ThreatFox
url,https://ip-vm.vercel.app/api/settings/linux,phishing,BeaverTail,ThreatFox
url,https://ip-vm.vercel.app/api/settings/windows,phishing,BeaverTail,ThreatFox
url,https://ip-vm.vercel.app/api/settings/env,phishing,BeaverTail,ThreatFox
ip,172.86.126.227,c2,Unknown malware,ThreatFox
url,https://www.jsonkeeper.com/b/7EBZP,phishing,OtterCookie,ThreatFox
url,https://www.jsonkeeper.com/b/PAB1R,phishing,OtterCookie,ThreatFox
url,http://138.226.247.152:80/session/0f2a3fba69d29493,phishing,OtterCookie,ThreatFox
ip,138.226.247.152,c2,OtterCookie,ThreatFox
url,https://jsonkeeper.com/b/J0VBJ,phishing,Unknown malware,ThreatFox
ip,43.157.63.92,c2,Aisuru,ThreatFox
ip,185.215.151.15,c2,Remcos,ThreatFox
domain,right.4b3a91fd1b35ab2d023f5d71713a6c00.workers.dev,phishing,Unknown malware,ThreatFox
domain,slam.ssybd.workers.dev,phishing,Unknown malware,ThreatFox
domain,smart.ikevbhm-gitch.workers.dev,phishing,Unknown malware,ThreatFox
domain,thank.ncsgo.workers.dev,phishing,Unknown malware,ThreatFox
domain,too.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,tool.mdlrh.workers.dev,phishing,Unknown malware,ThreatFox
domain,write567.hxjcj-klolko.workers.dev,phishing,Unknown malware,ThreatFox
domain,annual.mwbwu.workers.dev,phishing,Unknown malware,ThreatFox
domain,api.adriance.workers.dev,phishing,Unknown malware,ThreatFox
domain,api.aiservices.workers.dev,phishing,Unknown malware,ThreatFox
domain,bam.csmq.workers.dev,phishing,Unknown malware,ThreatFox
domain,borrow.vuulh.workers.dev,phishing,Unknown malware,ThreatFox
domain,cdn.clintonpqfg-adriance.workers.dev,phishing,Unknown malware,ThreatFox
url,http://42.7.119.110:43491/Mozi.m,phishing,Mozi,ThreatFox
url,http://190.196.253.126:11853/Mozi.m,phishing,Mozi,ThreatFox
domain,check.adriance.workers.dev,phishing,Unknown malware,ThreatFox
domain,coffee.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,connect.defenders.workers.dev,phishing,Unknown malware,ThreatFox
domain,dawn.ssybd.workers.dev,phishing,Unknown malware,ThreatFox
domain,craft.zjkgx.workers.dev,phishing,Unknown malware,ThreatFox
domain,depart.aasya.workers.dev,phishing,Unknown malware,ThreatFox
domain,drip.mwbwu.workers.dev,phishing,Unknown malware,ThreatFox
domain,edit.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,endorse8767.lrndn.workers.dev,phishing,Unknown malware,ThreatFox
domain,engage.aeafh.workers.dev,phishing,Unknown malware,ThreatFox
domain,essence.ncsgo.workers.dev,phishing,Unknown malware,ThreatFox
domain,evil.mwbwu.workers.dev,phishing,Unknown malware,ThreatFox
domain,evoke.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,excite.aeafh.workers.dev,phishing,Unknown malware,ThreatFox
domain,exercise.mwbwu.workers.dev,phishing,Unknown malware,ThreatFox
domain,false.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,farm.aeafh.workers.dev,phishing,Unknown malware,ThreatFox
domain,frequent.adam-46c.workers.dev,phishing,Unknown malware,ThreatFox
domain,frown76.hxjcj-klolko.workers.dev,phishing,Unknown malware,ThreatFox
ip,187.52.119.59,c2,Cobalt Strike,ThreatFox
domain,globe.aeafh.workers.dev,phishing,Unknown malware,ThreatFox
domain,inherit.zjkgx.workers.dev,phishing,Unknown malware,ThreatFox
domain,injury.vuulh.workers.dev,phishing,Unknown malware,ThreatFox
domain,iron.qdzibqajika.workers.dev,phishing,Unknown malware,ThreatFox
domain,lobster.aeafh.workers.dev,phishing,Unknown malware,ThreatFox
domain,message.uljhs.workers.dev,phishing,Unknown malware,ThreatFox
domain,machine.ncsgo.workers.dev,phishing,Unknown malware,ThreatFox
domain,occur.aeafh.workers.dev,phishing,Unknown malware,ThreatFox
domain,peanut.aeafh.workers.dev,phishing,Unknown malware,ThreatFox
domain,plain-wood-6829.aasya.workers.dev,phishing,Unknown malware,ThreatFox
domain,region8879.hxjcj-klolko.workers.dev,phishing,Unknown malware,ThreatFox
domain,remember.ncsgo.workers.dev,phishing,Unknown malware,ThreatFox
domain,render.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,retire.qdzibqajika.workers.dev,phishing,Unknown malware,ThreatFox
domain,rich.aasya.workers.dev,phishing,Unknown malware,ThreatFox
domain,romance.aasya.workers.dev,phishing,Unknown malware,ThreatFox
domain,school.ncsgo.workers.dev,phishing,Unknown malware,ThreatFox
domain,scare.zedqo.workers.dev,phishing,Unknown malware,ThreatFox
domain,seat.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,siren.aeafh.workers.dev,phishing,Unknown malware,ThreatFox
domain,soft-feather-0c50.alladinbarry.workers.dev,phishing,Unknown malware,ThreatFox
domain,solid.mwbwu.workers.dev,phishing,Unknown malware,ThreatFox
domain,spray.mwbwu.workers.dev,phishing,Unknown malware,ThreatFox
domain,start.csmq.workers.dev,phishing,Unknown malware,ThreatFox
domain,swampfak.hxjcj-klolko.workers.dev,phishing,Unknown malware,ThreatFox
domain,test.mcfind.workers.dev,phishing,Unknown malware,ThreatFox
domain,tilt.wiwgf.workers.dev,phishing,Unknown malware,ThreatFox
domain,tissue.ncsgo.workers.dev,phishing,Unknown malware,ThreatFox
domain,tms.vwgze.workers.dev,phishing,Unknown malware,ThreatFox
domain,tomato.ncsgo.workers.dev,phishing,Unknown malware,ThreatFox
domain,undo.ssybd.workers.dev,phishing,Unknown malware,ThreatFox
domain,upon.zedqo.workers.dev,phishing,Unknown malware,ThreatFox
domain,verifiedcarrier.alladinbarry.workers.dev,phishing,Unknown malware,ThreatFox
domain,wandering-field-2b83.aasya.workers.dev,phishing,Unknown malware,ThreatFox
domain,get.whitelllshop.icu,phishing,Unknown malware,ThreatFox
domain,wordpresslogin.kinsta.cloud,phishing,Unknown malware,ThreatFox
url,https://wordpresslogin.kinsta.cloud,phishing,Unknown malware,ThreatFox
url,https://get.whitelllshop.icu/landers/tzt.php,phishing,Unknown malware,ThreatFox
domain,leaf-core.com,c2,AMOS,ThreatFox
domain,postaspen18.com,phishing,AMOS,ThreatFox
url,https://postaspen18.com/curl/vopt4gbk1/ov19v1sg6oxsfg536m.json,phishing,AMOS,ThreatFox
url,https://postaspen18.com/2kqYRM0DCrnyJgoS4gVLl_FHJRRdTUhGCbjyuYwpZ6c/apph4/update,phishing,AMOS,ThreatFox
ip,185.173.39.2,c2,Jackskid,ThreatFox
ip,77.232.37.55,c2,Jackskid,ThreatFox
ip,185.173.38.47,c2,Jackskid,ThreatFox
ip,77.232.41.119,c2,Jackskid,ThreatFox
ip,77.232.42.76,c2,Jackskid,ThreatFox
ip,164.92.207.173,c2,Aisuru,ThreatFox
url,http://genovaw.com/curl/001e07c934e19b9d10f621c6b7546b43b2fb1c7b8fce2625fc7b767dfb626336,phishing,Unknown malware,ThreatFox
domain,tawona.co.za,phishing,ClearFake,ThreatFox
domain,www.steuern-und-strafe.de,phishing,ClearFake,ThreatFox
domain,www.transitionplus.com,phishing,ClearFake,ThreatFox
domain,webzine.hjculture.org,phishing,ClearFake,ThreatFox
domain,omrents.com,phishing,ClearFake,ThreatFox
domain,marquesuavisita.com.br,phishing,ClearFake,ThreatFox
domain,pastoralresume.proclaimdesign.com,phishing,ClearFake,ThreatFox
domain,www.fitness-magazine.com,phishing,ClearFake,ThreatFox
ip,154.219.101.56,c2,Cobalt Strike,ThreatFox
url,https://vernonsu.com/,phishing,Unknown malware,ThreatFox
domain,newskapital.com,phishing,ClearFake,ThreatFox
domain,33hb26ve.usa--flashburn.com,phishing,ClearFake,ThreatFox
domain,usa--flashburn.com,phishing,ClearFake,ThreatFox
domain,chic-toys.com,phishing,ClearFake,ThreatFox
domain,yoj8sdzn.neurowave.us,phishing,ClearFake,ThreatFox
ip,130.94.30.47,c2,Cobalt Strike,ThreatFox
ip,115.159.101.177,c2,Cobalt Strike,ThreatFox
domain,f2z84wi9.usa-enerflow.us,phishing,ClearFake,ThreatFox
domain,usa-enerflow.us,phishing,ClearFake,ThreatFox
domain,8ik02ax8.en-belly--flush.com,phishing,ClearFake,ThreatFox
domain,gcif61zz.belly--flush.com,phishing,ClearFake,ThreatFox
url,https://republika-srpska-stuttgart.de/,phishing,Unknown malware,ThreatFox
ip,167.172.133.4,c2,Remus,ThreatFox
domain,sh.zk89.net,c2,Vidar,ThreatFox
domain,sh.199cuan.org,c2,Vidar,ThreatFox
ip,47.98.177.11,c2,VShell,ThreatFox
domain,pjw2jloy.synadentics.com,phishing,ClearFake,ThreatFox
domain,synadentics.com,phishing,ClearFake,ThreatFox
url,https://aspentraverse.co/status/version-sessionstore.js,phishing,SmartApeSG,ThreatFox
domain,aspentraverse.co,phishing,SmartApeSG,ThreatFox
ip,39.107.139.26,c2,VShell,ThreatFox
ip,141.11.139.233,c2,VShell,ThreatFox
domain,aah3bpf6.eng-eng-glucore.com,phishing,ClearFake,ThreatFox
ip,192.210.197.13,c2,VShell,ThreatFox
ip,47.129.3.232,c2,VShell,ThreatFox
ip,185.193.126.143,c2,VShell,ThreatFox
ip,107.148.78.97,c2,VShell,ThreatFox
domain,fflupuez.smartwaterbox.us,phishing,ClearFake,ThreatFox
domain,smartwaterbox.us,phishing,ClearFake,ThreatFox
ip,124.222.77.67,c2,VShell,ThreatFox
ip,38.22.88.155,c2,DCRat,ThreatFox
ip,42.192.54.109,c2,VShell,ThreatFox
domain,suibzkdc.wece.store,phishing,ClearFake,ThreatFox
domain,wece.store,phishing,ClearFake,ThreatFox
ip,45.76.165.219,c2,SystemBC,ThreatFox
domain,vla.tcptunnel.su,c2,XWorm,ThreatFox
domain,Azx19-45876.portmap.host,c2,XWorm,ThreatFox
domain,britsygomez90901002.duckdns.org,c2,XWorm,ThreatFox
domain,tissues-carers.tun.ply.gg,c2,XWorm,ThreatFox
ip,31.57.97.111,c2,XWorm,ThreatFox
ip,36.255.97.7,c2,XWorm,ThreatFox
ip,82.47.102.179,c2,XWorm,ThreatFox
ip,85.203.4.222,c2,XWorm,ThreatFox
domain,sddfgdqw45tj-35300.portmap.host,c2,XWorm,ThreatFox
ip,85.203.4.161,c2,XWorm,ThreatFox
domain,lodalasan22wwee.duckdns.org,c2,XWorm,ThreatFox
ip,82.22.62.195,c2,XWorm,ThreatFox
domain,mb66.money,c2,Quasar RAT,ThreatFox
domain,mb669.win,c2,Quasar RAT,ThreatFox
domain,mb66d.pro,c2,Quasar RAT,ThreatFox
domain,mb661.click,c2,Quasar RAT,ThreatFox
domain,ga888.icu,c2,Quasar RAT,ThreatFox
domain,ok8368.io,c2,Quasar RAT,ThreatFox
ip,31.220.89.57,c2,Quasar RAT,ThreatFox
domain,nyecoin.io,c2,Quasar RAT,ThreatFox
domain,mb66.contact,c2,Quasar RAT,ThreatFox
domain,mcw.appgame.fit,c2,Quasar RAT,ThreatFox
domain,www.mb6623.com,c2,Quasar RAT,ThreatFox
domain,www.sunwin1.bz,c2,Quasar RAT,ThreatFox
domain,www.sunwin28.bz,c2,Quasar RAT,ThreatFox
domain,jun88vn.bet,c2,Quasar RAT,ThreatFox
domain,ownqs.com-info.bid,c2,Quasar RAT,ThreatFox
domain,qs-work.com-info.bid,c2,Quasar RAT,ThreatFox
ip,45.137.81.207,c2,Quasar RAT,ThreatFox
ip,45.153.34.146,c2,Quasar RAT,ThreatFox
domain,cellardoorchocolates.online,c2,Remcos,ThreatFox
domain,j88.cellardoorchocolates.online,c2,Remcos,ThreatFox
domain,rr88-link.com,c2,Remcos,ThreatFox
domain,u888vn.co,c2,Remcos,ThreatFox
domain,c2.pinslot.vip,c2,Remcos,ThreatFox
domain,c2.saudi365.co,c2,Remcos,ThreatFox
domain,c2.slotsite-top10.com,c2,Remcos,ThreatFox
domain,c2.sunwin.sixtyseven.co.in,c2,Remcos,ThreatFox
domain,c2.tvcasino.co,c2,Remcos,ThreatFox
domain,c2.w88chinhthuc11.com,c2,Remcos,ThreatFox
domain,c2.w88saba13.com,c2,Remcos,ThreatFox
domain,c2.w88thethao26.com,c2,Remcos,ThreatFox
domain,c2.web8kbetchinhthuc.buzz,c2,Remcos,ThreatFox
domain,c2.zuexz.buzz,c2,Remcos,ThreatFox
domain,c2.68gbsg.com,c2,Remcos,ThreatFox
domain,c2.789joker.com,c2,Remcos,ThreatFox
domain,c2.akuwin138slot.com,c2,Remcos,ThreatFox
domain,c2.avbs.in,c2,Remcos,ThreatFox
domain,c2.badana.me,c2,Remcos,ThreatFox
domain,c2.bioscolombia.com.co,c2,Remcos,ThreatFox
domain,c2.dnqj.my,c2,Remcos,ThreatFox
domain,c2.emphasis.co.in,c2,Remcos,ThreatFox
domain,c2.f5tech.in,c2,Remcos,ThreatFox
domain,c2.goourl.me,c2,Remcos,ThreatFox
domain,c2.hsdxm.buzz,c2,Remcos,ThreatFox
domain,c2.hyperluxe.gg,c2,Remcos,ThreatFox
domain,c2.j-88.co,c2,Remcos,ThreatFox
domain,c2.j88viet.com,c2,Remcos,ThreatFox
domain,c2.kubetvip.asia,c2,Remcos,ThreatFox
domain,c2.mtoto-wa-kuwinda.de,c2,Remcos,ThreatFox
domain,c2.news27.co.in,c2,Remcos,ThreatFox
domain,c2.ok365.org,c2,Remcos,ThreatFox
domain,c2.32win03.com,c2,Remcos,ThreatFox
domain,c2.32win08.com,c2,Remcos,ThreatFox
domain,c2.32win2.com,c2,Remcos,ThreatFox
domain,backdoor.ok365.org,c2,Remcos,ThreatFox
domain,backdoor.trangchuae888.com,c2,Remcos,ThreatFox
domain,c2.trangchuae888.com,c2,Remcos,ThreatFox
domain,news24-news.sa.com,c2,Remcos,ThreatFox
domain,s666hp.com,c2,Remcos,ThreatFox
domain,s8.coach,c2,Remcos,ThreatFox
domain,kubetvip.asia,c2,Remcos,ThreatFox
domain,mtoto-wa-kuwinda.de,c2,Remcos,ThreatFox
domain,news27.co.in,c2,Remcos,ThreatFox
domain,pinslot.vip,c2,Remcos,ThreatFox
domain,saudi365.co,c2,Remcos,ThreatFox
domain,seolink.in.net,c2,Remcos,ThreatFox
domain,slotsite-top10.com,c2,Remcos,ThreatFox
domain,sunwin.sixtyseven.co.in,c2,Remcos,ThreatFox
domain,tvcasino.co,c2,Remcos,ThreatFox
domain,w88chinhthuc11.com,c2,Remcos,ThreatFox
domain,web8kbetchinhthuc.buzz,c2,Remcos,ThreatFox
domain,zuexz.buzz,c2,Remcos,ThreatFox
domain,789joker.com,c2,Remcos,ThreatFox
domain,akuwin138slot.com,c2,Remcos,ThreatFox
domain,avbs.in,c2,Remcos,ThreatFox
domain,badana.me,c2,Remcos,ThreatFox
domain,bioscolombia.com.co,c2,Remcos,ThreatFox
domain,dnqj.my,c2,Remcos,ThreatFox
domain,emphasis.co.in,c2,Remcos,ThreatFox
domain,hsdxm.buzz,c2,Remcos,ThreatFox
domain,hyperluxe.gg,c2,Remcos,ThreatFox
domain,j-88.co,c2,Remcos,ThreatFox
domain,j88viet.com,c2,Remcos,ThreatFox
domain,3jrj8nat.americaeaglependant.com,phishing,ClearFake,ThreatFox
ip,156.239.224.131,c2,Cobalt Strike,ThreatFox
ip,101.43.31.60,c2,Cobalt Strike,ThreatFox
url,https://studiokasa.com.br/,phishing,Unknown malware,ThreatFox
domain,se.zk89.net,c2,Vidar,ThreatFox
domain,se.199cuan.org,c2,Vidar,ThreatFox
ip,92.118.126.165,c2,PureRAT,ThreatFox
ip,89.126.221.170,c2,AdaptixC2,ThreatFox
ip,89.126.221.216,c2,AdaptixC2,ThreatFox
ip,45.156.87.134,c2,PureRAT,ThreatFox
ip,23.94.197.128,c2,DCRat,ThreatFox
ip,217.60.195.50,c2,PureRAT,ThreatFox
ip,217.60.195.160,c2,PureRAT,ThreatFox
ip,217.156.66.203,c2,PureRAT,ThreatFox
ip,217.216.34.133,c2,Unknown malware,ThreatFox
ip,20.175.26.173,c2,Evilginx,ThreatFox
ip,192.162.199.188,c2,PureRAT,ThreatFox
ip,185.247.211.21,c2,PureRAT,ThreatFox
ip,176.96.137.11,c2,PureRAT,ThreatFox
domain,up3c3qqw.shop-zensulin.us,phishing,ClearFake,ThreatFox
ip,172.169.251.53,c2,AdaptixC2,ThreatFox
ip,149.88.76.74,c2,PureRAT,ThreatFox
ip,147.124.199.248,c2,PureRAT,ThreatFox
ip,147.224.179.31,c2,DanaBot,ThreatFox
domain,shop-zensulin.us,phishing,ClearFake,ThreatFox
ip,132.243.221.34,c2,PureRAT,ThreatFox
ip,128.90.136.246,c2,AsyncRAT,ThreatFox
ip,102.220.163.36,c2,AsyncRAT,ThreatFox
ip,102.117.163.68,c2,Unknown malware,ThreatFox
domain,kaiangelsystems.rest,c2,Unknown Stealer,ThreatFox
domain,agostinobruno.com,phishing,ClearFake,ThreatFox
domain,ymemes.noip.at,c2,Remcos,ThreatFox
url,https://www.motorway.nl,phishing,IClickFix,ThreatFox
url,https://www.motorway.nl/nochain-sw.js,phishing,IClickFix,ThreatFox
domain,engine.commdistinc.com,c2,FAKEUPDATES,ThreatFox
